Name,Doc,Repository,Twitter
React,https://reactjs.org/,https://github.com/facebook/react,https://twitter.com/reactjs
VueJS,https://vuejs.org/v2/cookbook/,https://github.com/vuejs,https://twitter.com/vuejs
Svelte,https://svelte.dev/,https://github.com/sveltejs/svelte,https://twitter.com/sveltejs
Angular,https://angular.io/docs,https://github.com/angular/angular,
jQuery,https://jquery.com/,https://github.com/jquery/jquery,
Aurelia,http://aurelia.io/docs/api,,
StincilJS,https://stenciljs.com/docs/introduction,,
Slick,https://kenwheeler.github.io/slick/,,
styled-components,https://styled-components.com/docs,https://github.com/styled-components/styled-components,
Gatsby,https://www.gatsbyjs.org/docs/,https://github.com/gatsbyjs/gatsby,https://twitter.com/gatsbyjs
NextJS,https://nextjs.org/docs/getting-started,https://github.com/vercel/next.js,
NuxtJS,https://nuxtjs.org/guide,https://github.com/nuxt/nuxt.js,https://twitter.com/nuxt_js
Rough Notation,https://github.com/rough-stuff/rough-notation,https://github.com/rough-stuff/rough-notation,
Content,,,
