Name,Doc,Repository
RxJS,http://reactivex.io/documentation/observable.html,https://github.com/ReactiveX/rxjs
Lodash,https://lodash.com/,https://github.com/lodash/lodash
RamdaJS,https://ramdajs.com/,https://github.com/ramda/ramda
Date-fns,https://date-fns.org/,
Moment,https://momentjs.com/docs/,https://github.com/moment/moment
RandoJS,https://randojs.com/,
ImmutableJS,https://immutable-js.github.io/immutable-js/,https://github.com/immutable-js/immutable-js
Nice Try,https://github.com/electerious/nice-try,https://github.com/electerious/nice-try
fs-extra,https://github.com/jprichardson/node-fs-extra,https://github.com/jprichardson/node-fs-extra
Uppy,https://uppy.io/docs/,https://github.com/transloadit/uppy
Yup,,
