Name,Repository,Comment
Gitter WebApp,https://gitlab.com/gitlab-org/gitter/webapp,
React Page,https://github.com/react-page/react-page,
Whiteboard Online,https://github.com/allanesquina/whiteboard,
YouTube Clone,https://github.com/manikandanraji/youtubeclone-frontend,YouTube alike application
Excalidraw,https://github.com/excalidraw/excalidraw,
BabylonJS,https://github.com/BabylonJS/Babylon.js,Game Engine
Ace,https://github.com/ajaxorg/ace,Online Code Editor
Slap,https://github.com/slap-editor/slap,Terminal Code Editor
Hubot,https://github.com/hubotio/hubot,
Web Desktop Environment,https://github.com/shmuelhizmi/web-desktop-environment,a web/nodejs-based cross-platform desktop environment
