Name,Tags,URL
VS Code - Recommended,code editor,
Atom,code editor,https://atom.io/
Sublime Text,code editor,https://www.sublimetext.com/
Vim,code editor,
Chrome DevTools,debugger,https://developers.google.com/web/tools/chrome-devtools
Firefox DevTools,debugger,https://developer.mozilla.org/en-US/docs/Tools
Gulp,build,https://gulpjs.com/docs/en/getting-started/quick-start
Webpack,build,
Parcel,build,https://sizzy.co/
Sizzy,browser,https://sizzy.co/
Prettier,code formatter,https://prettier.io/docs/en/
ESlint,linter,https://eslint.org/
Lerna,dev,https://github.com/lerna/lerna
Commitizen,dev,https://github.com/commitizen/cz-cli
